국가별,항목,단위,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
파키스탄,가연성 연료,,30186,33257,37921,39669,42669,46073,48950,51591.11111,52121.94445,57161.94444,60283.05556,63971.94444,63876.94445,62214.16667,64371.11111,59152.22222,61307.77778,61710.83333,65066.94444,70485,70557,82458,94566,90588,82533,90212,86550,
파키스탄,수력,,22858,23206,20858,22060,22449,19288,17194,22351,26944,25671,30862,31953,28707,27784,28093,31811,28517,29857,30397,32210,32867,32132,27729,32789,38802,38936,35069,
파키스탄,원자력,,511,483,346,375,284,399,1997,1740,1760,2795,2484,2288,3077,1618,2894,3420,5265,4553,4553,5090,5804,6867,9849,9134,9861,11090,17045,
파키스탄,풍력,,,,,,,,,,,,,,,,,,,,6,265,461,1422,2124,3234,2914,2900,4800,
파키스탄,태양열,,,,,,,,,,,,,,,,,,,,,,207,654,714,716,708,911,971,
파키스탄,기타,,,,,,,,,,,,,,11,15,23,36,53,16,25,100,,,,,,,,
팔레스타인,전체,,64,43,43,60,160,32,35.5,149.3,342.4,395.5,500.5,345.3,417.1,426.6,500.6,473.3,569.3,461.1,536.1,339.6,514.7,537.1,545.9,420.4,811.3,839.8,916.5,945.4
팔레스타인,가연성 연료,,64,43,43,60,160,32,35.5,149.3,342.4,395.5,500.5,345.3,417.1,426.6,500.6,473.3,569.3,461.1,534.1,336.6,505.5,494.5,500.9,360.4,691.3,661.8,692.5,714.4
팔레스타인,태양열,,,,,,,,,,,,,,,,,,,,2,3,9.2,42.6,45,60,120,178,224,231
필리핀,전체,,30875,33352,36715,38404,41328,45327,47059,48484,52897,55957,56604,56819,59645.788,60855.0032,61968.4,67798.8,69334.3,73189.2,75518.6,77476.1,82904.7,91789,95746.5,101222.9,107516.6,103215.3,107574.4,111517
필리핀,가연성 연료,,18493,19772,23430,24390,22877,25885,29496,31192,35189,37065,38260,36342,40791.5157,40210,41774.3,49986.2,49588.1,52593.5,55810.6,57845.1,62292,70518.5,73553.8,78984.8,86495.5,82850.5,84951.5,88155
